borough_x,block,lot,sale_price,zip_code,borough_y,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age,dist_to_tacobell,dist_to_chipotle
4,9611,9,710000,11419.0,QN,1925.0,5000.0,2242.0,2242.0,0.0,2.0,2.0,2.0,40.6871573,-73.812551,1.0,B3,100.0,0.5545315429287325,0.9850672948786721
4,9614,9,850000,11419.0,QN,1935.0,4000.0,1444.0,1444.0,0.0,2.0,2.0,1.5,40.6878969,-73.8099671,1.0,B3,90.0,0.6824433691683623,0.9221428311116532
4,9614,35,850000,11420.0,QN,1960.0,3840.0,1231.0,1231.0,0.0,2.0,2.0,1.67,40.6866533,-73.80983,1.0,B2,65.0,0.7012794206443805,1.0080519777838035
4,9614,67,1141500,11419.0,QN,1920.0,4000.0,1936.0,1936.0,0.0,2.0,2.0,2.5,40.6871231,-73.8101027,1.0,B3,105.0,0.6815098369788248,0.9758104958282802
4,9194,40,1306000,11418.0,QN,1910.0,3929.0,2673.0,2673.0,0.0,3.0,3.0,2.5,40.7001726,-73.8414887,2.0,C0,115.0,0.28718515773655257,1.4586627298753594
4,9205,31,1149292,11418.0,QN,1920.0,5042.0,3217.0,3217.0,0.0,3.0,3.0,2.75,40.6968033,-73.8384098,2.0,C0,105.0,0.26662330254858035,1.539598281599899
4,9223,23,1400000,11418.0,QN,1910.0,4975.0,2842.0,2842.0,0.0,3.0,3.0,2.75,40.7007033,-73.8343502,2.0,C0,115.0,0.09380206260358975,1.2964738060635472
4,9285,97,650000,11418.0,QN,1920.0,1891.0,1780.0,1780.0,0.0,3.0,3.0,2.0,40.7030398,-73.81845,2.0,C0,105.0,0.9416475850053466,0.4788825773886067
4,9309,15,745000,11418.0,QN,1920.0,2800.0,2240.0,2240.0,0.0,3.0,3.0,2.0,40.6912801,-73.8418452,2.0,C0,105.0,0.6888140455287566,1.8238536734908628
4,9309,15,450000,11418.0,QN,1920.0,2800.0,2240.0,2240.0,0.0,3.0,3.0,2.0,40.6912801,-73.8418452,2.0,C0,105.0,0.6888140455287566,1.8238536734908628
4,9317,12,950000,11418.0,QN,1920.0,2500.0,2424.0,2424.0,0.0,3.0,3.0,2.0,40.6929237,-73.8356208,2.0,C0,105.0,0.5038957212594373,1.478744069189538
4,9324,52,447000,11418.0,QN,1920.0,5000.0,1818.0,1818.0,0.0,3.0,3.0,2.5,40.6942065,-73.8325236,2.0,C0,105.0,0.4533097124593838,1.2947307059584936
4,9342,67,865300,11418.0,QN,1915.0,3600.0,2717.0,2717.0,0.0,3.0,3.0,2.5,40.7012105,-73.8176399,2.0,C0,110.0,0.913033982993588,0.41968023206160693
4,9348,41,1275000,11418.0,QN,1910.0,3680.0,3374.0,3374.0,0.0,3.0,3.0,3.0,40.6938632,-73.8304834,2.0,C0,115.0,0.5256917782917224,1.2060551277458915
4,9353,4,912850,11418.0,QN,1920.0,2000.0,2000.0,2000.0,0.0,3.0,3.0,2.0,40.6988371,-73.8234166,2.0,C0,105.0,0.6672593705184683,0.7412722149291868
4,9353,14,1050000,11418.0,QN,2009.0,2004.0,2290.0,2290.0,0.0,3.0,3.0,3.0,40.6986031,-73.8229917,2.0,C0,16.0,0.689315038587474,0.7234574708889709
4,9361,25,1135000,11418.0,QN,1925.0,4400.0,2963.0,2963.0,0.0,3.0,3.0,2.5,40.7001611,-73.8188041,2.0,C0,100.0,0.826087621709355,0.4863428418416263
4,9362,40,950000,11418.0,QN,1925.0,3760.0,2620.0,2620.0,0.0,3.0,3.0,2.5,40.6999755,-73.8177118,2.0,C0,100.0,0.8308207087930037,0.43219627201618127
4,9382,1,1115000,11416.0,QN,1920.0,2998.0,2216.0,2216.0,0.0,3.0,3.0,2.0,40.6883842,-73.8417728,2.0,C0,105.0,0.8715140228624025,1.9051224950171433
